code_commune;nb_menages_fiscaux;nb_personnes;revenu_median_disponible
11342;101;242;18450
11343;NULL;NULL;NULL
11344;318;694;20930
11345;125;224;20050
11346;60;123;15210
11347;57;96;17750
11348;NULL;NULL;NULL
11350;NULL;NULL;NULL
11351;361;755;18930
11352;NULL;NULL;NULL
11353;754;1758;20670
11354;NULL;NULL;NULL
11355;165;385;23370
11356;455;1118;22630
11357;105;194;23450
11358;NULL;NULL;NULL
11359;204;461;23300
11360;812;1948;21230
11361;383;821;20430
11362;85;202;19550
11363;87;184;18980
11364;77;155;17410
11365;NULL;NULL;NULL
11366;245;515;20610
11367;411;816;18450
11368;55;116;19980
11369;1206;2748;21290
11370;1397;3133;21960
11371;320;705;21370
11372;182;369;17710
11373;NULL;NULL;NULL
11374;NULL;NULL;NULL
11375;NULL;NULL;NULL
11376;NULL;NULL;NULL
11377;NULL;NULL;NULL
11378;105;211;20830
11379;2561;5390;20340
11380;61;124;20630
11381;NULL;NULL;NULL
11382;145;347;24860
11383;139;357;22540
11384;48;103;11780
11385;106;230;22900
11386;177;367;18230
11387;NULL;NULL;NULL
11388;NULL;NULL;NULL
11389;NULL;NULL;NULL
11390;262;563;18940
11391;NULL;NULL;NULL
11392;141;284;18780
11393;222;451;19510
14098;2438;6268;24520
14100;738;1819;22280
14101;1872;4194;25620
14102;429;962;23970
14103;171;410;22930
14104;68;167;23310
14106;266;646;24730
14107;56;146;20730
14110;51;113;23520
14111;168;455;23790
14116;47;113;22550
14117;2175;3687;21930
14118;48826;87249;21060
14119;756;1950;21190
14120;552;1452;22340
13216;6674;15446;19410
14001;497;1216;23050
14003;119;307;24980
14005;660;1691;23070
14006;420;1117;25390
14007;83;218;22390
14009;557;1375;25520
14011;743;1914;21670
14012;67;178;21240
14014;518;1399;29240
14015;305;803;31840
14016;187;472;21730
14019;87;225;24010
14020;1578;3697;21480
14021;250;470;22920
14022;314;639;21860
14023;NULL;NULL;NULL
14024;230;604;24450
14025;129;301;23120
