code_commune;nb_menages_fiscaux;nb_personnes;revenu_median_declare
03229;276;623;19580
03230;219;542;20970
03231;94;189;19370
03232;125;317;21200
03233;155;393;23130
03234;179;377;18710
03235;396;876;19230
03236;1675;3566;18310
03237;197;429;19150
03238;220;435;18240
03239;119;261;18370
03240;266;540;17920
03241;152;335;16700
03242;268;601;20070
03243;60;132;23020
03244;60;119;21800
03245;54;122;19950
03246;247;573;20580
03247;467;1057;19620
03248;90;169;18100
03249;84;165;16990
03250;163;357;19330
03251;191;376;19610
03252;277;698;22240
03253;167;369;20040
02424;44;103;22820
02425;65;182;18020
02426;228;569;21540
02427;54;129;20240
02428;NULL;NULL;NULL
02429;44;115;22930
02430;521;1112;18670
02431;175;402;21480
02432;79;183;20620
02433;96;224;19850
02435;NULL;NULL;NULL
02438;110;253;23240
02439;454;1162;19910
02440;58;152;18120
02441;90;208;23760
02442;NULL;NULL;NULL
02443;82;202;26490
02444;51;117;19410
02445;122;271;21150
02446;41;117;22800
02447;57;142;18590
02448;45;103;21090
02449;NULL;NULL;NULL
02450;153;368;15600
02451;55;139;18820
02452;95;262;22700
02453;166;397;21170
02454;154;414;20080
02455;80;176;20740
02456;134;311;18540
02457;166;409;18550
02458;328;808;21790
02459;73;173;25810
02460;96;217;18700
02461;142;358;21520
02462;95;226;20150
02463;NULL;NULL;NULL
02464;148;370;21430
02465;214;546;22690
02466;58;128;23370
02467;NULL;NULL;NULL
02468;938;2068;16450
02469;193;464;17370
02470;165;392;17850
02471;54;128;22580
02472;172;401;19650
02473;77;204;19250
02474;157;398;22030
02476;255;637;16890
02477;409;956;24380
02478;107;271;20970
02480;129;306;21660
02481;182;461;29250
02482;NULL;NULL;NULL
02483;213;512;22790
02484;195;489;20960
02485;NULL;NULL;NULL
02486;NULL;NULL;NULL
02487;255;615;23050
02488;68;165;19460
02489;134;352;25720
02490;56;120;29670
02491;135;332;18790
02492;183;451;19940
02493;99;219;19730
02494;53;140;21650
02495;416;1005;19430
02496;37;105;22410
02497;457;1119;23380
02498;321;776;20550
02499;NULL;NULL;NULL
02500;325;789;18070
02501;NULL;NULL;NULL
02502;541;1105;15850
02503;351;827;17730
02504;665;1604;19470
02505;82;206;23110
02506;83;192;25550
02507;NULL;NULL;NULL
02508;57;133;23160
02509;60;158;21010
02510;64;145;24220
02511;117;298;17140
02512;113;277;22270
02513;71;142;20580
02514;279;695;21400
02515;NULL;NULL;NULL
02516;NULL;NULL;NULL
02517;130;307;18790
02518;116;276;21420
02519;72;175;15270
02520;290;773;20860
02521;515;1365;23530
02522;NULL;NULL;NULL
02523;NULL;NULL;NULL
02524;280;704;22690
02525;248;580;24600
02526;NULL;NULL;NULL
02527;180;463;21630
02528;102;218;23290
02529;78;188;18330
02530;NULL;NULL;NULL
02531;52;130;20810
02532;420;970;21690
02533;58;115;23070
02534;NULL;NULL;NULL
02535;46;114;19500
02536;NULL;NULL;NULL
02537;72;193;20440
02538;NULL;NULL;NULL
02539;280;695;19660
02540;483;1260;22910
02541;188;429;22180
02542;NULL;NULL;NULL
02543;830;1999;19340
02544;258;594;17520
02545;63;153;19480
02546;76;201;21780
02547;NULL;NULL;NULL
02548;141;372;19040
02549;367;861;23000
02550;55;127;21770
02551;45;119;18570
02552;70;175;23020
02553;99;229;20110
02554;463;1132;23860
02555;874;2082;20370
02556;NULL;NULL;NULL
02557;53;126;20290
02558;1115;2347;17390
02559;206;494;17900
02560;117;249;22640
02561;61;141;26050
02562;83;199;20080
02563;62;146;18870
02564;192;478;23640
02565;116;297;21150
02566;464;1115;22340
02567;120;271;17220
02568;71;175;23460
02569;174;433;17820
02570;73;184;19830
02571;285;650;24160
02572;194;481;24870
02573;NULL;NULL;NULL
02574;564;1284;18440
02575;711;1560;16890
02576;122;318;23140
02577;NULL;NULL;NULL
02578;NULL;NULL;NULL
02579;57;133;22130
02580;334;767;19250
02581;121;303;24190
02582;NULL;NULL;NULL
02583;NULL;NULL;NULL
02584;42;110;21820
02585;96;258;21770
02586;67;140;21090
02790;95;226;18880
02791;111;266;22070
02792;63;141;21220
